CaracteristicaAccidenteID,TIPO_DE_CALLE,CALLE,DIRECCION_NORMALIZADA,VICTIMA
12,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",MOTO
13,AVENIDA,"ACOSTA, MARIANO","ACOSTA, MARIANO y JANER, ANA MARIA",PEATON
14,CALLE,"DE LA TORRE, LISANDRO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",PEATON
15,CALLE,SUIPACHA,SUIPACHA 156,PEATON
16,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y CURAPALIGUE,AUTO
17,AVENIDA,9 DE JULIO AV.,"9 DE JULIO AV. y ALSINA, ADOLFO",MOTO
18,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y 27 DE FEBRERO AV.",AUTO
19,CALLE,HOLMBERG,HOLMBERG y VEDIA,AUTO
20,AVENIDA,CURAPALIGUE AV.,"CURAPALIGUE AV. y DIAZ, AVELINO",AUTO
21,AVENIDA,VIAMONTE,VIAMONTE y 9 DE JULIO AV.,PEATON
22,AVENIDA,CABILDO AV.,CABILDO AV. y DEHEZA,PEATON
23,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",MOTO
24,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",PEATON
25,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y CALLAO AV.,MOTO
26,CALLE,HERRERA,"HERRERA y VALLE, ARISTOBULO DEL",MOTO
27,AVENIDA,LAFUENTE AV.,LAFUENTE AV. y QUIRNO,MOTO
28,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y ZUVIRIA",PEATON
29,AVENIDA,"MITRE, BARTOLOME","MITRE, BARTOLOME y PUEYRREDON AV.",MOTO
30,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,MOTO
31,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.","DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",PEATON
32,AVENIDA,"MORENO, JOSE MARIA AV.","MORENO, JOSE MARIA AV. y BALBASTRO",MOTO
33,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DEL LIBERTADOR AV.",MOTO
34,CALLE,LIMA,LIMA 1483,PEATON
35,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y DORREGO AV.,PEATON
36,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,SD
37,AVENIDA,"GORDILLO, TIMOTEO","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",PEATON
38,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",MOTO
39,AUTOPISTA,"LUGONES, LEOPOLDO AV.",AUTOPISTA LUGONES PK 10000,MOTO
40,AVENIDA,TRIUNVIRATO AV.,TRIUNVIRATO AV. y OLAZABAL AV.,PEATON
41,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",MOTO
42,AVENIDA,"CASTILLA, RAMON, MARISCAL","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",PEATON
43,AVENIDA,"CAMPOS, LUIS M. AV.","CAMPOS, LUIS M. AV. 30",MOTO
44,CALLE,LIMA,LIMA 1471,PEATON
45,CALLE,CIUDADELA,CIUDADELA y LIMA,PEATON
46,AVENIDA,"JUSTO, JUAN B. AV.","JUSTO, JUAN B. AV. y CARRASCO AV.",PEATON
47,AVENIDA,GAONA AV.,GAONA AV. y ESPINOSA,PEATON
48,AVENIDA,"DE LA TORRE, LISANDRO","DE LA TORRE, LISANDRO y SARAZA",MOTO
49,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",MOTO
50,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. y FILIBERTO,AUTO
51,CALLE,"MAGARI?OS CERVANTES, A.","MAGARIÑOS CERVANTES, A. 3900",MOTO
52,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y SCAPINO, RODOLFO",AUTO
53,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,PEATON
54,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. y CAMARONES,PEATON
55,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL","PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",PEATON
56,AVENIDA,BELGRANO AV.,BELGRANO AV. y JUJUY AV.,MOTO
57,AVENIDA,DEL LIBERTADOR AV.,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",AUTO
58,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y RIVADAVIA AV.",AUTO
59,AVENIDA,"LARRALDE, CRISOLOGO AV.","LARRALDE, CRISOLOGO AV. y MACHAIN",MOTO
60,AVENIDA,LA PLATA AV.,LA PLATA AV. 2384,PEATON
61,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y PUAN",PEATON
62,CALLE,"PELLEGRINI, CARLOS","PELLEGRINI, CARLOS y TUCUMAN",PEATON
63,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.","RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",MOTO
64,AVENIDA,OLIVERA AV.,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",PEATON
65,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,MOTO
66,CALLE,CERETTI,CERETTI y NUÑEZ,PEATON
67,AUTOPISTA,"LUGONES, LEOPOLDO AV.","LUGONES, LEOPOLDO AV. y LA PAMPA",PEATON
68,AVENIDA,"SALGUERO, JERONIMO","SALGUERO, JERONIMO y RIVADAVIA AV.",PEATON
69,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",AUTO
70,AVENIDA,MERCEDES,MERCEDES y MOSCONI GENERAL AV.,MOTO
71,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,MOTO
72,CALLE,SOLIS,SOLIS y MEXICO,PEATON
73,AVENIDA,SAN JUAN AV.,SAN JUAN AV. y ALBERTI,MOTO
74,GRAL PAZ,MOSCONI GENERAL AV.,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",CARGAS
75,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DONADO",MOTO
76,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y CHAVEZ, JORGE",SD
77,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. y SUAREZ, JOSE LEON",MOTO
78,AVENIDA,ZINNY,ZINNY y SANTIAGO DE COMPOSTELA AV.,MOTO
79,AVENIDA,"LACROZE, FEDERICO AV.","LACROZE, FEDERICO AV. y FRAGA",PEATON
80,AVENIDA,"PELLEGRINI, CARLOS","PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",PEATON
81,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,MOTO
82,AUTOPISTA,AUTOPISTA PERITO MORENO,AUTOPISTA PERITO MORENO y BARRAGAN,AUTO
83,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y CARHUE",PEATON
84,AUTOPISTA,LUGONES,LUGONES y LA PAMPA,MOTO
85,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,MOTO
86,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",PEATON
87,CALLE,"SALGUERO, JERONIMO","SALGUERO, JERONIMO 1410",BICICLETA
88,CALLE,ARIAS,ARIAS y TRONADOR,SD
89,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. y TAGLE,AUTO
90,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,AUTO
91,AVENIDA,"LARRALDE, CRISOLOGO AV.","LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",SD
92,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. 4233",BICICLETA
93,AVENIDA,ASAMBLEA AV.,"ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",MOTO
94,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y RIVERA INDARTE AV.,PEATON
95,AUTOPISTA,AUTOPISTA PERITO MORENO,"AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",MOTO
96,CALLE,IRIGOYEN,IRIGOYEN y TINOGASTA,AUTO
97,AVENIDA,"ACOSTA, MARIANO","ACOSTA, MARIANO y ROCA, CNEL. AV.",PEATON
98,AVENIDA,CASTRO,CASTRO y PAVON AV.,PEATON
99,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,MOTO
100,CALLE,MIRAVE,MIRAVE 3500,PEATON
101,AVENIDA,SAN JUAN AV.,SAN JUAN AV. y 24 DE NOVIEMBRE,AUTO
102,AVENIDA,LAS HERAS GENERAL AV.,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,MOTO
103,AVENIDA,PIEDRA BUENA AV.,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,MOTO
104,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",PEATON
105,AUTOPISTA,AUTOPISTA BUENOS AIRES - LA PLATA,AU BUENOS AIRES - LA PLATA KM. 4,MOTO
106,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. y LADINES,MOTO
107,AVENIDA,CABILDO AV.,CABILDO AV. y BLANCO ENCALADA,BICICLETA
108,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",MOTO
109,AVENIDA,JURAMENTO AV.,JURAMENTO AV. y VUELTA DE OBLIGADO,PASAJEROS
110,AVENIDA,DEL LIBERTADOR AV.,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",MOTO
111,AVENIDA,"BROWN, ALTE. AV.","BROWN, ALTE. AV. 984",PEATON
112,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. y LA PAMPA,MOTO
113,AVENIDA,PICHINCHA AV.,PICHINCHA AV. y BRASIL,PEATON
114,AVENIDA,INDEPENDENCIA AV.,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",MOVIL
115,AVENIDA,GARMENDIA AV.,GARMENDIA AV. 4895,MOTO
116,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",CARGAS
117,AVENIDA,"MORENO, PERITO AV.","MORENO, PERITO AV. y ZUVIRIA",MOTO
118,AVENIDA,ARAOZ,ARAOZ y CORDOBA AV.,PEATON
119,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. 15200",MOTO
120,CALLE,MADERO,MADERO 900,PEATON
121,AVENIDA,INDEPENDENCIA AV.,INDEPENDENCIA AV. y DEAN FUNES,MOTO
122,AVENIDA,"JUSTO, JUAN B. AV.","JUSTO, JUAN B. AV. 5645",MOTO
123,AVENIDA,27 DE FEBRERO AV.,27 DE FEBRERO AV. y ESCALADA AV.,AUTO
124,AUTOPISTA,AUTOPISTA PERITO MORENO,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),CARGAS
125,AVENIDA,SANTA FE AV.,SANTA FE AV. y GODOY CRUZ,PEATON
126,AVENIDA,"LACROZE, FEDERICO AV.","LACROZE, FEDERICO AV. y FOREST AV.",PEATON
127,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y MOSCONI GENERAL AV.",MOTO
128,AVENIDA,LA PLATA AV.,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",AUTO
129,AVENIDA,"GARCIA, MARTIN AV.","GARCIA, MARTIN AV. 300",BICICLETA
130,AVENIDA,LA PLATA AV.,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",MOTO
131,AVENIDA,NUÑEZ,"NUÑEZ y BALBIN, RICARDO, DR. AV.",MOTO
132,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. 4500",MOTO
133,AUTOPISTA,"HUERGO, ING. AV.","HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",MOTO
134,AVENIDA,"GARAY, JUAN DE AV.","GARAY, JUAN DE AV. y CASTRO",MOTO
135,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y SAN PEDRITO AV.,MOTO
136,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO,SD
137,CALLE,"FALCON, RAMON L.,CNEL.","FALCON, RAMON L.,CNEL. y MEMBRILLAR",PEATON
138,AVENIDA,BELGRANO AV.,BELGRANO AV. y PASEO COLON AV.,MOTO
139,CALLE,ARENALES,ARENALES 3319,PEATON
140,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,PEATON
141,AVENIDA,"JUSTO, JUAN B. AV.","JUSTO, JUAN B. AV. y ACHUPALLAS",MOTO
142,AVENIDA,OLAVARRIA,OLAVARRIA y VELEZ SARSFIELD AV.,CARGAS
143,CALLE,LIMA,LIMA y MEXICO,PEATON
144,CALLE,"CABRERA, JOSE A.","CABRERA, JOSE A. y BONPLAND",MOTO
145,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO y BOEDO AV.,MOTO
146,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y RIGLOS,MOTO
147,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",MOTO
148,CALLE,TRAFUL,"TRAFUL y TABORDA, DIOGENES",MOTO
149,AVENIDA,"IRIARTE, GRAL. AV.","IRIARTE, GRAL. AV. 3055",PEATON
150,AVENIDA,DONADO,DONADO y ARIAS,MOTO
151,AVENIDA,CORDOBA AV.,CORDOBA AV. y CALLAO AV.,PEATON
152,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO KM. 8.3,MOTO
153,AVENIDA,"JUSTO, JUAN B. AV.","JUSTO, JUAN B. AV. y PARAGUAY",MOTO
154,CALLE,SARMIENTO,SARMIENTO y LIBERTAD,MOTO
155,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 7121,PEATON
156,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",MOTO
157,AVENIDA,"MORENO, PERITO AV.","MORENO, PERITO AV. y FOURNIER",AUTO
158,AVENIDA,CASEROS AV.,CASEROS AV. 1429,PEATON
159,AVENIDA,GAONA AV.,GAONA AV. y FRAGATA PRES. SARMIENTO,PEATON
160,CALLE,MOZART,MOZART y TANDIL,SD
161,AVENIDA,MOZART,MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTO
162,CALLE,24 DE NOVIEMBRE,24 DE NOVIEMBRE y PAVON,AUTO
163,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y LOS CEDROS",AUTO
164,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y GUTIERREZ, RICARDO",AUTO
165,CALLE,GODOY CRUZ,GODOY CRUZ 2651,PEATON
166,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.","ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",AUTO
167,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y CAMPANA",MOTO
168,AVENIDA,INDEPENDENCIA AV.,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",MOTO
169,AVENIDA,CASTA?ARES AV.,CASTAÑARES AV. y LAUTARO,MOTO
170,AVENIDA,"GUIRALDES, INT.","GUIRALDES, INT. 2699",AUTO
171,CALLE,"FERNANDEZ MORENO, BALDOMERO","FERNANDEZ MORENO, BALDOMERO 2186",MOTO
172,GRAL PAZ,"LUGONES, LEOPOLDO AV.","LUGONES, LEOPOLDO AV.",MOTO
173,CALLE,NOGOYA,NOGOYA 5940,MOTO
174,AVENIDA,ARGENTINA AV.,ARGENTINA AV. y CORVALAN,MOTO
175,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",PEATON
176,AUTOPISTA,AUTOPISTA PERITO MORENO,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,MOTO
177,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AU DELLEPIANE 2400,AUTO
178,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y GOLETA SANTA CRUZ",PEATON
179,CALLE,VIEYTES,VIEYTES y VILLARINO,MOTO
180,AVENIDA,DE LOS CONSTITUYENTES AV.,"DE LOS CONSTITUYENTES AV. y MORAN, PEDRO",MOTO
181,AVENIDA,DE LOS CONSTITUYENTES AV.,DE LOS CONSTITUYENTES AV. 4900,AUTO
182,AVENIDA,CORDOBA AV.,CORDOBA AV. y LIBERTAD,PEATON
183,CALLE,BRASIL,BRASIL y LIMA,PEATON
184,AVENIDA,ESCALADA AV.,"ESCALADA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",MOTO
185,AVENIDA,PARAGUAY,PARAGUAY y CALLAO AV.,PEATON
186,AVENIDA,"JUSTO, JUAN B. AV.","JUSTO, JUAN B. AV. y SAN BLAS",MOTO
187,AVENIDA,CHILE,CHILE y 9 DE JULIO AV.,PEATON
188,CALLE,MAIPU,"MAIPU y PERON, JUAN DOMINGO, TTE. GENERAL",CARGAS
189,AVENIDA,SUAREZ AV.,SUAREZ AV. y HERRERA,BICICLETA
190,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. y FRAGATA PRES. SARMIENTO,PEATON
191,AVENIDA,DIRECTORIO AV.,"DIRECTORIO AV. y MORENO, JOSE MARIA AV.",MOTO
192,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.","RABANAL, FRANCISCO, INTENDENTE AV. 2950",MOTO
193,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y SCHMIDL, ULRICO",MOTO
194,CALLE,NUEVA YORK,NUEVA YORK 3696,PEATON
195,AVENIDA,DE LOS CONSTITUYENTES AV.,DE LOS CONSTITUYENTES AV. y VALLEJOS,AUTO
196,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y ECUADOR,MOTO
197,CALLE,CASCO,CASCO 133,SD
198,AVENIDA,DE MAYO AV.,DE MAYO AV. y 9 DE JULIO AV.,PEATON
199,AVENIDA,"CASTILLO, RAMON S., PRES. AV.","CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",PEATON
200,CALLE,FRAY JUSTO SANTAMARIA DE ORO,FRAY JUSTO SANTAMARIA DE ORO 1930,MOTO
201,CALLE,MEXICO,MEXICO y DEAN FUNES,MOTO
202,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y ESCALADA AV.",PEATON
203,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. y BRASIL,PEATON
204,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",MOTO
205,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. y RODRIGUEZ PEÑA,PEATON
206,AVENIDA,TACUARI,"TACUARI y GARCIA, MARTIN AV.",PEATON
207,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y MURGUIONDO,PEATON
208,CALLE,24 DE NOVIEMBRE,24 DE NOVIEMBRE 390,PEATON
209,AVENIDA,PASEO COLON AV.,PASEO COLON AV. y BRASIL AV.,PEATON
210,CALLE,"LEGUIZAMON, MARTINIANO","LEGUIZAMON, MARTINIANO 901",SD
211,GRAL PAZ,CHIVILCOY AV.,"CHIVILCOY AV. y PAZ, GRAL. AV.",PEATON
212,GRAL PAZ,SUPERI,"SUPERI y PAZ, GRAL. AV.",MOTO
213,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,PEATON
214,AUTOPISTA,"LUGONES, LEOPOLDO AV.","LUGONES, LEOPOLDO AV. y PUENTE DISTRIBUIDOR SCALABRINI ORTIZ",PEATON
215,CALLE,"HUGO, VICTOR","HUGO, VICTOR 2639",BICICLETA
216,AVENIDA,CORDOBA AV.,"CORDOBA AV. y SALGUERO, JERONIMO",MOTO
217,AVENIDA,CABILDO AV.,CABILDO AV. y NUÑEZ,PEATON
218,CALLE,"BONIFACIO, JOSE","BONIFACIO, JOSE 2114",PEATON
219,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","FIGUEROA ALCORTA, PRES. AV. 5400",BICICLETA
220,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA 2135,MOTO
221,AVENIDA,"LACROZE, FEDERICO AV.","LACROZE, FEDERICO AV. y ZAPATA",PEATON
222,AVENIDA,"IRIARTE, GRAL. AV.","IRIARTE, GRAL. AV. y ZAVALETA",PEATON
223,AVENIDA,9 DE JULIO AV.,9 DE JULIO AV. y ESTADOS UNIDOS,PEATON
224,CALLE,FRAY JUSTO SANTAMARIA DE ORO,FRAY JUSTO SANTAMARIA DE ORO y GUEMES,PEATON
225,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. y JARAMILLO,MOTO
226,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y MACHAIN",OBJETO FIJO
227,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y PORTELA,MOTO
228,AVENIDA,LAVALLE,"LAVALLE y ALEM, LEANDRO N. AV.",PEATON
229,CALLE,USPALLATA,USPALLATA y PIROVANO,PEATON
230,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO y VARELA AV.,AUTO
231,AVENIDA,SANTA FE AV.,SANTA FE AV. y MAIPU,PEATON
232,AVENIDA,ALVEAR AV.,ALVEAR AV. y DEL LIBERTADOR AV.,AUTO
233,AVENIDA,PAVON AV.,PAVON AV. y TREINTA Y TRES ORIENTALES,MOTO
234,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. 5750",MOTO
235,AVENIDA,VIEYTES,"VIEYTES y CRUZ, OSVALDO AV.",MOTO
236,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.,MOTO
237,AVENIDA,ALBARI?O,ALBARIÑO y ARGENTINA AV.,PEATON
238,CALLE,"RAMIREZ DE VELASCO, JUAN","RAMIREZ DE VELASCO, JUAN 1211",MOTO
239,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV. y LARRAYA",MOTO
240,AVENIDA,RIESTRA AV.,RIESTRA AV. y CAÑADA DE GOMEZ,AUTO
241,AVENIDA,GALLO,GALLO y CORDOBA AV.,MOTO
242,CALLE,"ARANGUREN, JUAN F., DR.","ARANGUREN, JUAN F., DR. 611",PEATON
243,AUTOPISTA,AUTOPISTA PERITO MORENO,AUTOPISTA PERITO MORENO y AUTOPISTA 25 DE MAYO,MOTO
244,AVENIDA,CHORROARIN,CHORROARIN y SAN MARTIN AV.,AUTO
245,AVENIDA,COSQUIN,"COSQUIN y ROCA, CNEL. AV.",MOTO
246,AVENIDA,"ROCA, CNEL. AV.","ROCA, CNEL. AV. 3555",PEATON
247,AVENIDA,WARNES AV.,WARNES AV. y PUNTA ARENAS,MOTO
248,AVENIDA,BARCO CENTENERA DEL,"BARCO CENTENERA DEL y RABANAL, FRANCISCO, INTENDENTE AV.",PEATON
249,AVENIDA,MOSCONI GENERAL AV.,MOSCONI GENERAL AV. y SAN NICOLAS,PEATON
250,AVENIDA,LAFUENTE AV.,"LAFUENTE AV. y PERON, EVA AV.",MOTO
251,AVENIDA,"ROCA, CNEL. AV.","ROCA, CNEL. AV. y ESCALADA AV.",AUTO
252,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,MOTO
253,AVENIDA,LA PLATA AV.,"LA PLATA AV. y GOYENA, PEDRO AV.",PEATON
254,CALLE,"TRELLES, MANUEL R.","TRELLES, MANUEL R. y DIAZ, CESAR, GRAL.",AUTO
255,GRAL PAZ,"ROCA, CNEL. AV.","ROCA, CNEL. AV. y PAZ, GRAL. AV.",AUTO
256,CALLE,MAZA,MAZA y DON BOSCO,MOTO
257,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y PERON, EVA AV.",MOTO
258,AVENIDA,SAN JUAN AV.,SAN JUAN AV. y LA RIOJA,PEATON
259,AVENIDA,PASEO COLON AV.,PASEO COLON AV. y MEXICO,PEATON
260,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y MIRALLA,PEATON
261,CALLE,VIEYTES,VIEYTES y LUJAN,PEATON
262,CALLE,CACHI,CACHI y TRAFUL,BICICLETA
263,AVENIDA,ROSARIO,ROSARIO y LA PLATA AV.,MOTO
264,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. y CASEROS AV.,PEATON
265,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 6350,SD
266,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y HUMAITA",AUTO
267,GRAL PAZ,GUALEGUAYCHU,"GUALEGUAYCHU y PAZ, GRAL. AV.",MOTO
268,AVENIDA,NAZCA AV.,NAZCA AV. 365,PEATON
269,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. 5249",PEATON
270,AVENIDA,SAN JUAN AV.,SAN JUAN AV. y RINCON,PEATON
271,CALLE,PERU,PERU 937,BICICLETA
272,AVENIDA,"PUEYRREDON, HONORIO, DR. AV.","PUEYRREDON, HONORIO, DR. AV. y GALICIA",PEATON
273,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. y MANZANARES,MOTO
274,AVENIDA,PASEO COLON AV.,PASEO COLON AV. 1019,PEATON
275,CALLE,VALLE,VALLE y BARCO CENTENERA DEL,BICICLETA
