CaracteristicaAccidenteID,TIPO_DE_CALLE,CALLE,DIRECCION_NORMALIZADA,VICTIMA
471,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.","SCALABRINI ORTIZ, RAUL AV. y GORRITI",MOTO
472,AVENIDA,PRIMERA JUNTA,PRIMERA JUNTA y OLIVERA AV.,PEATON
473,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y AZUL",AUTO
474,AVENIDA,ALVAREZ THOMAS AV.,ALVAREZ THOMAS AV. 1788,AUTO
475,AUTOPISTA,"LUGONES, LEOPOLDO AV.","LUGONES, LEOPOLDO AV. y PAZ, GRAL. AV.",MOTO
476,CALLE,SAN ANTONIO,SAN ANTONIO y LUJAN,MOTO
477,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","FIGUEROA ALCORTA, PRES. AV. y TAGLE",PEATON
478,AVENIDA,"EINSTEIN, ALBERTO","EINSTEIN, ALBERTO y ALCORTA, AMANCIO AV.",PEATON
479,CALLE,AGRELO,AGRELO y COLOMBRES,MOTO
480,GRAL PAZ,CABILDO AV.,"CABILDO AV. y PAZ, GRAL. AV.",PEATON
481,AVENIDA,ELCANO AV.,ELCANO AV. 4300,PEATON
482,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.","RABANAL, FRANCISCO, INTENDENTE AV. 2428",BICICLETA
483,CALLE,MONTE,MONTE y CORVALAN,AUTO
484,CALLE,TANDIL,TANDIL y LAFUENTE,BICICLETA
485,CALLE,CARDOSO,CARDOSO y BACACAY,BICICLETA
486,AVENIDA,CORRIENTES AV.,CORRIENTES AV. 6700,MOTO
487,AVENIDA,ALVAREZ THOMAS AV.,ALVAREZ THOMAS AV. y MENDOZA,MOTO
488,AVENIDA,"BROWN, ALTE. AV.","BROWN, ALTE. AV. y BLANES, JUAN MANUEL",PEATON
489,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. 5455",PEATON
490,AVENIDA,"JUSTO, JUAN B. AV.","JUSTO, JUAN B. AV. y CAMARGO",PEATON
491,CALLE,"BRIN, MINISTRO","BRIN, MINISTRO y SUAREZ",PEATON
492,AVENIDA,NIZA,"NIZA y JUSTO, JUAN B. AV.",BICICLETA
493,CALLE,CAMARGO,CAMARGO y SERRANO,MOTO
494,AVENIDA,CASEROS AV.,CASEROS AV. y PIEDRAS,PEATON
495,AUTOPISTA,AUTOPISTA PERITO MORENO,AUTOPISTA PERITO MORENO KM. 5.6,MOTO
496,AVENIDA,GUZMAN,GUZMAN 365,PASAJEROS
497,AVENIDA,DE LOS CONSTITUYENTES AV.,DE LOS CONSTITUYENTES AV. 4300,MOTO
498,AVENIDA,"MORENO, PERITO AV.","MORENO, PERITO AV. y TILCARA AV.",MOTO
499,CALLE,IBARROLA,"IBARROLA y GORDILLO, TIMOTEO",MOTO
500,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y GRIVEO",MOTO
501,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y PERGAMINO,MOTO
502,AVENIDA,SANTO TOME,SANTO TOME y SEGUROLA AV.,PEATON
503,CALLE,URIARTE,URIARTE y LOYOLA,PEATON
504,AVENIDA,SARAZA,SARAZA y VARELA AV.,MOTO
505,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y COMBATE DE LOS POZOS,PEATON
506,AVENIDA,RODRIGUEZ PE?A,RODRIGUEZ PEÑA y RIVADAVIA AV.,PEATON
507,AVENIDA,24 DE NOVIEMBRE,24 DE NOVIEMBRE y SAN JUAN AV.,MOTO
508,AVENIDA,LAFUENTE AV.,LAFUENTE AV. 2250,MOTO
509,CALLE,CHILE,CHILE y LIMA,PEATON
510,AVENIDA,CORDOBA AV.,"CORDOBA AV. y JAURES, JEAN",MOTO
511,CALLE,"PERON, JUAN DOMINGO, TTE. GENERAL","PERON, JUAN DOMINGO, TTE. GENERAL y SALGUERO, JERONIMO",PEATON
512,AVENIDA,9 DE JULIO AV.,9 DE JULIO AV. y SAN JUAN AV.,MOTO
513,CALLE,COLOMBRES,COLOMBRES 466,MOTO
514,CALLE,MEXICO,MEXICO 2860,PEATON
