FechaID,FECHA,AAAA,MM,DD,HORA,HH
114,2016-11-07,2016,11,7,0 days 20:56:00,20
115,2016-11-09,2016,11,9,0 days 20:00:00,20
116,2016-11-16,2016,11,16,0 days 21:15:00,21
117,2016-11-16,2016,11,16,0 days 22:20:00,22
118,2016-11-18,2016,11,18,0 days 18:20:00,18
119,2016-11-23,2016,11,23,0 days 21:10:00,21
120,2016-11-25,2016,11,25,0 days 15:42:00,15
121,2016-11-26,2016,11,26,0 days 14:14:00,14
122,2016-11-26,2016,11,26,0 days 16:50:00,16
123,2016-11-26,2016,11,26,0 days 19:40:00,19
124,2016-12-03,2016,12,3,0 days 06:40:00,6
125,2016-12-04,2016,12,4,0 days 07:21:00,7
126,2016-12-06,2016,12,6,0 days 05:30:00,5
127,2016-12-06,2016,12,6,0 days 07:22:00,7
128,2016-12-07,2016,12,7,0 days 05:00:00,5
129,2016-12-10,2016,12,10,0 days 07:30:00,7
130,2016-12-11,2016,12,11,0 days 06:16:00,6
131,2016-12-12,2016,12,12,0 days 08:25:00,8
132,2016-12-13,2016,12,13,0 days 10:40:00,10
133,2016-12-15,2016,12,15,0 days 15:30:00,15
134,2016-12-19,2016,12,19,0 days 17:10:00,17
135,2016-12-25,2016,12,25,0 days 19:00:00,19
136,2016-12-26,2016,12,26,0 days 08:00:00,8
137,2016-12-26,2016,12,26,0 days 19:52:00,19
138,2016-12-27,2016,12,27,0 days 00:00:00,0
139,2016-12-27,2016,12,27,0 days 08:15:00,8
140,2016-12-28,2016,12,28,0 days 01:41:00,1
141,2016-12-29,2016,12,29,0 days 04:00:00,4
142,2016-12-30,2016,12,30,0 days 16:18:00,16
143,2017-01-02,2017,1,2,0 days 01:00:00,1
144,2017-01-05,2017,1,5,0 days 03:10:00,3
145,2017-01-11,2017,1,11,0 days 17:00:00,17
146,2017-01-16,2017,1,16,0 days 00:40:00,0
147,2017-01-16,2017,1,16,0 days 13:56:00,13
148,2017-01-16,2017,1,16,0 days 16:30:00,16
149,2017-01-22,2017,1,22,0 days 02:30:00,2
150,2017-01-24,2017,1,24,0 days 14:00:00,14
151,2017-01-27,2017,1,27,0 days 07:00:00,7
152,2017-01-28,2017,1,28,0 days 08:27:34,8
153,2017-02-02,2017,2,2,0 days 15:18:03,15
154,2017-02-03,2017,2,3,0 days 05:12:21,5
155,2017-02-06,2017,2,6,0 days 08:00:00,8
156,2017-02-09,2017,2,9,0 days 07:00:00,7
157,2017-02-18,2017,2,18,0 days 05:30:00,5
158,2017-02-23,2017,2,23,0 days 20:50:00,20
159,2017-02-24,2017,2,24,0 days 17:05:00,17
160,2017-02-26,2017,2,26,0 days 05:15:00,5
161,2017-02-26,2017,2,26,0 days 21:57:00,21
162,2017-02-28,2017,2,28,0 days 09:20:00,9
163,2017-03-07,2017,3,7,0 days 02:15:00,2
164,2017-03-07,2017,3,7,0 days 08:00:00,8
165,2017-03-11,2017,3,11,0 days 01:30:00,1
166,2017-03-12,2017,3,12,0 days 05:00:00,5
167,2017-03-12,2017,3,12,0 days 07:30:00,7
168,2017-03-13,2017,3,13,0 days 07:50:00,7
169,2017-03-23,2017,3,23,0 days 05:00:00,5
170,2017-03-29,2017,3,29,0 days 18:00:00,18
171,2017-03-31,2017,3,31,0 days 03:00:00,3
172,2017-04-01,2017,4,1,0 days 19:00:00,19
173,2017-04-03,2017,4,3,0 days 09:40:00,9
174,2017-04-03,2017,4,3,0 days 23:15:00,23
175,2017-04-10,2017,4,10,0 days 09:00:00,9
176,2017-04-14,2017,4,14,0 days 06:15:00,6
177,2017-04-23,2017,4,23,0 days 06:30:00,6
178,2017-04-27,2017,4,27,0 days 18:16:00,18
179,2017-04-28,2017,4,28,0 days 11:08:08,11
180,2017-05-01,2017,5,1,0 days 03:47:47,3
181,2017-05-05,2017,5,5,0 days 03:40:00,3
182,2017-05-05,2017,5,5,0 days 20:16:22,20
183,2017-05-07,2017,5,7,0 days 21:00:00,21
184,2017-05-09,2017,5,9,0 days 08:30:00,8
185,2017-05-09,2017,5,9,0 days 23:10:00,23
186,2017-05-11,2017,5,11,0 days 09:24:00,9
187,2017-05-13,2017,5,13,0 days 07:20:00,7
188,2017-05-15,2017,5,15,0 days 13:29:30,13
189,2017-05-15,2017,5,15,0 days 16:00:00,16
190,2017-05-17,2017,5,17,0 days 10:13:00,10
191,2017-05-20,2017,5,20,0 days 05:00:00,5
192,2017-05-22,2017,5,22,0 days 16:00:00,16
193,2017-05-22,2017,5,22,0 days 18:10:00,18
194,2017-05-23,2017,5,23,0 days 02:45:00,2
195,2017-05-27,2017,5,27,0 days 19:50:00,19
196,2017-05-24,2017,5,24,0 days 14:15:00,14
197,2017-05-30,2017,5,30,0 days 13:20:00,13
198,2017-06-03,2017,6,3,0 days 23:20:00,23
199,2017-06-04,2017,6,4,0 days 09:00:00,9
