HechoVictimaID,ID_HECHO,FechaID,VictimaID
232,2016-0021,15,25
233,2016-0021,16,25
234,2016-0021,14,229
235,2016-0021,15,229
236,2016-0021,16,229
237,2016-0021,14,425
238,2016-0021,15,425
239,2016-0021,16,425
240,2016-0021,14,440
241,2016-0021,15,440
242,2016-0021,16,440
243,2016-0021,14,453
244,2016-0021,15,453
245,2016-0021,16,453
246,2016-0021,14,562
247,2016-0021,15,562
248,2016-0021,16,562
249,2016-0022,17,17
250,2016-0022,17,112
251,2016-0025,18,18
252,2016-0025,19,18
253,2016-0025,20,18
254,2016-0025,18,20
255,2016-0025,19,20
256,2016-0025,20,20
257,2016-0025,18,18
258,2016-0025,19,18
259,2016-0025,20,18
260,2016-0025,18,20
261,2016-0025,19,20
262,2016-0025,20,20
263,2016-0025,18,18
264,2016-0025,19,18
265,2016-0025,20,18
266,2016-0025,18,20
267,2016-0025,19,20
268,2016-0025,20,20
269,2016-0026,18,3
270,2016-0026,19,3
271,2016-0026,20,3
272,2016-0026,18,6
273,2016-0026,19,6
274,2016-0026,20,6
275,2016-0026,18,19
276,2016-0026,19,19
277,2016-0026,20,19
278,2016-0026,18,41
279,2016-0026,19,41
280,2016-0026,20,41
281,2016-0026,18,50
282,2016-0026,19,50
283,2016-0026,20,50
284,2016-0026,18,55
285,2016-0026,19,55
286,2016-0026,20,55
287,2016-0026,18,85
288,2016-0026,19,85
289,2016-0026,20,85
290,2016-0026,18,136
291,2016-0026,19,136
292,2016-0026,20,136
293,2016-0026,18,142
294,2016-0026,19,142
295,2016-0026,20,142
296,2016-0026,18,261
297,2016-0026,19,261
298,2016-0026,20,261
299,2016-0026,18,334
300,2016-0026,19,334
301,2016-0026,20,334
302,2016-0026,18,356
303,2016-0026,19,356
304,2016-0026,20,356
305,2016-0026,18,389
306,2016-0026,19,389
307,2016-0026,20,389
308,2016-0026,18,476
309,2016-0026,19,476
310,2016-0026,20,476
311,2016-0026,18,620
312,2016-0026,19,620
313,2016-0026,20,620
314,2016-0026,18,684
315,2016-0026,19,684
316,2016-0026,20,684
317,2016-0026,18,3
318,2016-0026,19,3
319,2016-0026,20,3
320,2016-0026,18,6
321,2016-0026,19,6
322,2016-0026,20,6
323,2016-0026,18,19
324,2016-0026,19,19
325,2016-0026,20,19
326,2016-0026,18,41
327,2016-0026,19,41
328,2016-0026,20,41
329,2016-0026,18,50
330,2016-0026,19,50
331,2016-0026,20,50
332,2016-0026,18,55
333,2016-0026,19,55
334,2016-0026,20,55
335,2016-0026,18,85
336,2016-0026,19,85
337,2016-0026,20,85
338,2016-0026,18,136
339,2016-0026,19,136
340,2016-0026,20,136
341,2016-0026,18,142
342,2016-0026,19,142
343,2016-0026,20,142
344,2016-0026,18,261
345,2016-0026,19,261
346,2016-0026,20,261
347,2016-0026,18,334
348,2016-0026,19,334
349,2016-0026,20,334
350,2016-0026,18,356
351,2016-0026,19,356
352,2016-0026,20,356
353,2016-0026,18,389
354,2016-0026,19,389
355,2016-0026,20,389
356,2016-0026,18,476
357,2016-0026,19,476
358,2016-0026,20,476
359,2016-0026,18,620
360,2016-0026,19,620
361,2016-0026,20,620
362,2016-0026,18,684
363,2016-0026,19,684
364,2016-0026,20,684
365,2016-0026,18,3
366,2016-0026,19,3
367,2016-0026,20,3
368,2016-0026,18,6
369,2016-0026,19,6
370,2016-0026,20,6
371,2016-0026,18,19
372,2016-0026,19,19
373,2016-0026,20,19
374,2016-0026,18,41
375,2016-0026,19,41
376,2016-0026,20,41
377,2016-0026,18,50
378,2016-0026,19,50
379,2016-0026,20,50
380,2016-0026,18,55
381,2016-0026,19,55
382,2016-0026,20,55
383,2016-0026,18,85
384,2016-0026,19,85
385,2016-0026,20,85
386,2016-0026,18,136
387,2016-0026,19,136
388,2016-0026,20,136
389,2016-0026,18,142
390,2016-0026,19,142
391,2016-0026,20,142
392,2016-0026,18,261
393,2016-0026,19,261
394,2016-0026,20,261
395,2016-0026,18,334
396,2016-0026,19,334
397,2016-0026,20,334
398,2016-0026,18,356
399,2016-0026,19,356
400,2016-0026,20,356
401,2016-0026,18,389
402,2016-0026,19,389
403,2016-0026,20,389
404,2016-0026,18,476
405,2016-0026,19,476
406,2016-0026,20,476
407,2016-0026,18,620
408,2016-0026,19,620
409,2016-0026,20,620
410,2016-0026,18,684
411,2016-0026,19,684
412,2016-0026,20,684
413,2016-0027,18,18
414,2016-0027,19,18
415,2016-0027,20,18
416,2016-0027,18,20
417,2016-0027,19,20
418,2016-0027,20,20
419,2016-0027,18,18
420,2016-0027,19,18
421,2016-0027,20,18
422,2016-0027,18,20
423,2016-0027,19,20
424,2016-0027,20,20
425,2016-0027,18,18
426,2016-0027,19,18
427,2016-0027,20,18
428,2016-0027,18,20
429,2016-0027,19,20
430,2016-0027,20,20
431,2016-0028,21,21
432,2016-0028,21,94
433,2016-0028,21,119
434,2016-0028,21,644
435,2016-0029,22,22
436,2016-0029,22,40
437,2016-0029,22,78
438,2016-0029,22,120
439,2016-0029,22,557
440,2016-0029,22,584
441,2016-0031,23,23
442,2016-0031,23,76
443,2016-0031,23,166
444,2016-0031,23,185
445,2016-0031,23,222
446,2016-0031,23,325
447,2016-0031,23,338
448,2016-0031,23,432
449,2016-0031,23,468
450,2016-0031,23,471
451,2016-0031,23,552
452,2016-0034,24,24
453,2016-0034,24,527
454,2016-0035,25,16
455,2016-0035,25,25
456,2016-0035,25,229
457,2016-0035,25,425
458,2016-0035,25,440
459,2016-0035,25,453
460,2016-0035,25,562
461,2016-0036,26,26
462,2016-0037,27,27
463,2016-0037,27,29
464,2016-0037,27,160
465,2016-0037,27,232
466,2016-0037,27,280
467,2016-0037,27,374
468,2016-0037,27,385
469,2016-0037,27,481
470,2016-0038,28,28
471,2016-0038,28,101
472,2016-0038,28,397
473,2016-0039,29,27
474,2016-0039,29,29
475,2016-0039,29,160
476,2016-0039,29,232
477,2016-0039,29,280
478,2016-0039,29,374
479,2016-0039,29,385
480,2016-0039,29,481
481,2016-0041,30,30
482,2016-0041,30,329
483,2016-0041,30,31
484,2016-0041,30,226
485,2016-0041,30,260
486,2016-0041,30,439
487,2016-0041,30,480
488,2016-0043,31,32
489,2016-0043,31,377
490,2016-0044,32,33
491,2016-0044,32,67
492,2016-0044,32,82
493,2016-0044,32,123
494,2016-0044,32,244
495,2016-0044,32,249
496,2016-0044,32,294
497,2016-0044,32,299
498,2016-0044,32,519
499,2016-0044,32,586
500,2016-0044,32,624
501,2016-0044,32,636
502,2016-0044,32,693
503,2016-0045,33,34
504,2016-0045,33,165
505,2016-0045,33,341
506,2016-0045,33,353
507,2016-0045,33,359
508,2016-0045,33,373
509,2016-0045,33,403
510,2016-0045,33,436
511,2016-0045,33,451
512,2016-0045,33,512
513,2016-0045,33,530
514,2016-0045,33,534
515,2016-0045,33,561
516,2016-0047,34,35
517,2016-0047,35,35
518,2016-0047,34,35
519,2016-0047,35,35
520,2016-0048,34,36
521,2016-0048,35,36
522,2016-0048,34,310
523,2016-0048,35,310
524,2016-0048,34,445
525,2016-0048,35,445
526,2016-0048,34,554
527,2016-0048,35,554
528,2016-0048,34,621
529,2016-0048,35,621
530,2016-0048,34,36
531,2016-0048,35,36
532,2016-0048,34,310
533,2016-0048,35,310
534,2016-0048,34,445
535,2016-0048,35,445
536,2016-0048,34,554
537,2016-0048,35,554
538,2016-0048,34,621
539,2016-0048,35,621
540,2016-0049,36,37
